"predator_class","predator_name","num_stb_killed"
"PRIEST","Harvest Golem",26
"ROGUE","Slime",26
"PRIEST","Kor'kron Elite",26
"HUNTER","Desert Camel",26
"MAGE","Argent Horserider",26
"DRUID","Dragonfire Potion",26
"PRIEST","Holy Fire",26
"MAGE","Mortal Coil",26
"ROGUE","Al'Akir the Windlord",25
"DRUID","Lotus Agents",25
"PALADIN","Chillmaw",25
"HUNTER","Reno Jackson",25
"HUNTER","Slime",25
"DRUID","Crazed Worshipper",25
"WARLOCK","Frost Elemental",25
"ROGUE","Reno Jackson",25
"MAGE","Demonfire",25
"DRUID","Consecration",25
"DRUID","Sunwalker",25
"PALADIN","Bilefin Tidehunter",25
"DRUID","Jade Golem",25
"DRUID","Twin Emperor Vek'nilash",25
"DRUID","Ysera Awakens",25
"ROGUE","Undercity Valiant",25
"PRIEST","Abyssal Enforcer",24
"PALADIN","Grimscale Chum",24
"WARLOCK","Crystalweaver",24
"DRUID","Treant",24
"DRUID","Bloodmage Thalnos",24
"ROGUE","Axe Flinger",24
"MAGE","Kabal Lackey",24
"DRUID","Treant",24
"DRUID","Master Jouster",24
"DRUID","Murloc Warleader",24
"PRIEST","Chromaggus",24
"PALADIN","Ragnaros the Firelord",24
"DRUID","Mistress of Mixtures",24
"PRIEST","Harrison Jones",24
"WARLOCK","Arcane Blast",24
"MAGE","Jaina Proudmoore",24
"ROGUE","Unbound Elemental",24
"PRIEST","Dread Corsair",23
"HUNTER","Ragnaros the Firelord",23
"MAGE","Sylvanas Windrunner",23
"WARRIOR","C'Thun's Chosen",23
"MAGE","Small-Time Buccaneer",23
"WARRIOR","Brann Bronzebeard",23
"DRUID","Chillmaw",23
"SHAMAN","Abyssal Enforcer",23
"DRUID","Dirty Rat",23
"PALADIN","Mind Control Tech",23
"PRIEST","Flamestrike",23
"PRIEST","Jinyu Waterspeaker",23
"DRUID","Tentacle of N'Zoth",23
"HUNTER","Fireblast",22
"SHAMAN","Unbound Elemental",22
"HUNTER","Loot Hoarder",22
"DRUID","Holy Nova",22
"PRIEST","Drakonid Crusher",22
"DRUID","Greater Arcane Missiles",22
"DRUID","Bloodsail Corsair",22
"DRUID","Shadowflame",22
"SHAMAN","Shieldbearer",21
"ROGUE","Alexstrasza's Champion",21
"WARLOCK","Voodoo Doctor",21
"PALADIN","Doppelgangster",21
"PRIEST","Edwin VanCleef",21
"HUNTER","Flame Juggler",21
"MAGE","Darkshire Alchemist",21
"PRIEST","Thing from Below",21
"ROGUE","Stranglethorn Tiger",21
"WARRIOR","Second-Rate Bruiser",21
"PALADIN","Earthen Ring Farseer",21
"ROGUE","Flamewreathed Faceless",21
"ROGUE","Coldlight Oracle",21
"MAGE","C'Thun",21
"MAGE","Gurubashi Berserker",21
"MAGE","Ethereal Arcanist",21
"SHAMAN","Blowgill Sniper",21
"SHAMAN","Master of Evolution",21
"DRUID","Revenge",21
"MAGE","Patches the Pirate",21
"MAGE","Stampeding Kodo",21
"HUNTER","Sir Finley Mrrgglton",21
"DRUID","Hellfire",21
"MAGE","Avian Watcher",20
"PRIEST","Elise Starseeker",20
"MAGE","Elise Starseeker",20
"MAGE","Doomguard",20
"PRIEST","Djinni of Zephyrs",20
"WARRIOR","Golden Monkey",20
"DRUID","Treant",20
"WARLOCK","Kabal Trafficker",20
"DRUID","Forked Lightning",20
"HUNTER","Grimestreet Smuggler",20
"DRUID","Slime",20
"PRIEST","Buccaneer",20
"SHAMAN","Black Whelp",20
"WARRIOR","Wolfrider",20
"PRIEST","Midnight Drake",20
"PALADIN","Grimestreet Informant",20
"PRIEST","Searing Totem",20
"MAGE","Bluegill Warrior",20
"PRIEST","Finja, the Flying Star",20
"WARRIOR","Soggoth the Slitherer",20
"WARLOCK","Crazed Alchemist",20
"WARRIOR","Grimestreet Informant",20
"HUNTER","Dire Wolf Alpha",20
"PRIEST","Small-Time Buccaneer",20
"PALADIN","Whelp",20
"ROGUE","Deathwing",20
"PALADIN","Knife Juggler",20
"WARLOCK","Dark Bargain",20
"MAGE","Boar",20
"DRUID","Alexstrasza",19
"SHAMAN","Ravaging Ghoul",19
"WARLOCK","Harvest Golem",19
"PALADIN","Doppelgangster",19
"DRUID","Burgly Bully",19
"WARLOCK","Blood Imp",19
"DRUID","Faerie Dragon",19
"WARLOCK","Flamestrike",19
"ROGUE","Alley Armorsmith",19
"MAGE","Red Mana Wyrm",19
"ROGUE","Shadowcaster",19
"ROGUE","Frothing Berserker",19
"ROGUE","Violet Teacher",19
"MAGE","Coldlight Oracle",19
"SHAMAN","Tuskarr Totemic",19
"ROGUE","White Eyes",19
"ROGUE","Gadgetzan Ferryman",19
"SHAMAN","Nerubian Prophet",19
"PRIEST","Onyx Bishop",18
"MAGE","Crazed Worshipper",18
"WARLOCK","C'Thun's Chosen",18
"PRIEST","Whelp",18
"SHAMAN","The Curator",18
"PRIEST","Youthful Brewmaster",18
"WARLOCK","Stonetusk Boar",18
"SHAMAN","Wicked Witchdoctor",18
"PALADIN","Silent Knight",18
"ROGUE","Fireguard Destroyer",18
"MAGE","Psych-o-Tron",18
"SHAMAN","Backstab",18
"PRIEST","Flamewreathed Faceless",18
"PALADIN","Dragon Consort",18
"PRIEST","Dark Iron Skulker",18
"PALADIN","Blowgill Sniper",18
"PRIEST","Questing Adventurer",18
"PALADIN","Twilight Geomancer",18
"DRUID","Twilight Guardian",18
"ROGUE","Ragnaros the Firelord",18
"ROGUE","Wicked Witchdoctor",18
"DRUID","Astral Communion",18
"DRUID","Cleave",17
"SHAMAN","Demonwrath",17
"WARLOCK","Twin Emperor Vek'lor",17
"WARRIOR","Netherspite Historian",17
"DRUID","Argent Horserider",17
"WARRIOR","Cairne Bloodhoof",17
"DRUID","Wisp",17
"MAGE","Totem Golem",17
"ROGUE","Shady Dealer",17
"PRIEST","Bane of Doom",17
"ROGUE","Jungle Panther",17
"DRUID","Aviana",17
"DRUID","Volcanic Potion",17
"WARRIOR","Twilight Elder",17
"WARLOCK","Gadgetzan Jouster",17
"DRUID","Infested Tauren",17
"PRIEST","Wrathion",17
"ROGUE","Tentacle of N'Zoth",17
"MAGE","Grook Fu Master",17
"DRUID","Menagerie Warden",17
"PRIEST","Aya Blackpaw",17
"DRUID","Corrupted Seer",17
"PALADIN","Psych-o-Tron",17
"PRIEST","Mad Bomber",17
"WARLOCK","Unlicensed Apothecary",17
"PRIEST","Shadowflame",17
"PRIEST","Confessor Paletress",17
"MAGE","Chillmaw",16
"WARRIOR","Public Defender",16
"ROGUE","Tunnel Trogg",16
"ROGUE","Sylvanas Windrunner",16
"PALADIN","Defender",16
"WARLOCK","Flamewreathed Faceless",16
"SHAMAN","Dragonfire Potion",16
"ROGUE","Thing from Below",16
"PRIEST","Twilight Flamecaller",16
"ROGUE","Lotus Assassin",16
"ROGUE","Defias Bandit",16
"DRUID","Yogg-Saron, Hope's End",16
"WARRIOR","Tentacle of N'Zoth",16
"DRUID","Sen'jin Shieldmasta",15
"WARRIOR","Ysera",15
"SHAMAN","Jeweled Scarab",15
"PRIEST","Arcane Blast",15
"MAGE","Spirit Wolf",15
"MAGE","Knuckles",15
"MAGE","Earth Elemental",15
"PRIEST","Laughing Sister",15
"WARRIOR","Twin Emperor Vek'nilash",15
"PALADIN","Harvest Golem",15
"WARRIOR","Corrupted Seer",15
"ROGUE","Jade Golem",15
"SHAMAN","Silver Hand Recruit",15
"PRIEST","Alexstrasza",15
"WARLOCK","Friendly Bartender",15
"SHAMAN","Second-Rate Bruiser",15
"WARRIOR","Flame Juggler",15
"WARLOCK","Youthful Brewmaster",15
"HUNTER","Patches the Pirate",15
"ROGUE","Abomination",15
"PRIEST","C'Thun",15
"PALADIN","Murloc Knight",15
"WARRIOR","Ancient Shieldbearer",15
"WARRIOR","Grimestreet Pawnbroker",14
"SHAMAN","Lotus Agents",14
"MAGE","Soulfire",14
"SHAMAN","Hallazeal the Ascended",14
"PRIEST","Baron Geddon",14
"WARLOCK","Bilefin Tidehunter",14
"DRUID","Abomination",14
"WARRIOR","Grimestreet Smuggler",14
"WARLOCK","Tunnel Trogg",14
"DRUID","Zoobot",14
"PRIEST","Demonfire",14
"WARLOCK","Tournament Attendee",14
"ROGUE","Fierce Monkey",14
"PRIEST","Drain Life",14
"SHAMAN","Twilight Drake",14
"PALADIN","Grimestreet Protector",14
"ROGUE","Volcanic Potion",14
"PRIEST","Jade Shuriken",14
"WARRIOR","Captain Greenskin",14
"PRIEST","Kobold Geomancer",14
"WARRIOR","Silver Hand Recruit",14
"MAGE","Baron Geddon",14
"PRIEST","Cairne Bloodhoof",14
"MAGE","Ysera Awakens",14
"WARLOCK","Young Priestess",14
"PALADIN","Backstab",14
"PRIEST","Scaled Nightmare",13
"ROGUE","Windspeaker",13
"SHAMAN","Fireguard Destroyer",13
"SHAMAN","Doppelgangster",13
"PALADIN","Steward of Darkshire",13
"WARLOCK","Dread Infernal",13
"PALADIN","Argent Commander",13
"ROGUE","Chillmaw",13
"MAGE","Prince Malchezaar",13
"ROGUE","Burgly Bully",13
"DRUID","Madam Goya",13
"PRIEST","Fierce Monkey",13
"MAGE","Tunnel Trogg",13
"ROGUE","Bloodhoof Brave",13
"PALADIN","Eadric the Pure",13
"MAGE","Sen'jin Shieldmasta",13
"ROGUE","Thunder Bluff Valiant",13
"WARRIOR","Reno Jackson",13
"WARLOCK","Gul'dan",13
"DRUID","Avenging Wrath",13
"MAGE","Grim Patron",13
"PALADIN","Sylvanas Windrunner",13
"WARLOCK","Sergeant Sally",13
"WARLOCK","Bloodsail Raider",13
"PALADIN","Murloc Tidehunter",13
"PALADIN","Silver Hand Murloc",13
"PALADIN","Sunwalker",13
"ROGUE","The Mistcaller",13
"WARLOCK","Frostbolt",13
"DRUID","Flamestrike",13
"PRIEST","Holy Champion",13
"WARRIOR","Coldlight Oracle",13
"MAGE","Cryomancer",13
"PALADIN","Doppelgangster",13
"ROGUE","Deadly Fork",13
"ROGUE","Slime",13
"DRUID","Lance Carrier",13
"DRUID","Demonwrath",13
"WARLOCK","Dark Iron Dwarf",13
"HUNTER","Argent Squire",13
"PRIEST","Huge Toad",13
"ROGUE","Magnataur Alpha",12
"WARLOCK","Dread Corsair",12
"HUNTER","Southsea Deckhand",12
"ROGUE","Southsea Squidface",12
"MAGE","Shado-Pan Rider",12
"ROGUE","Kor'kron Elite",12
"WARLOCK","Corrupted Seer",12
"HUNTER","Mistress of Mixtures",12
"WARRIOR","Hellfire",12
"MAGE","Clockwork Knight",12
"MAGE","Starving Buzzard",12
"MAGE","Ethereal Peddler",12
"MAGE","Spellbreaker",12
"PALADIN","Grimscale Oracle",12
"WARLOCK","Kor'kron Elite",12
"MAGE","Spiked Hogrider",12
"WARRIOR","Argent Commander",12
"PALADIN","Whelp",12
"SHAMAN","Sylvanas Windrunner",12
"MAGE","Darkspeaker",12
"MAGE","Lotus Agents",12
"ROGUE","Shadow Sensei",12
"PALADIN","Murloc Scout",12
"MAGE","Frothing Berserker",12
"PALADIN","Abusive Sergeant",12
"MAGE","Spiteful Smith",12
"PRIEST","Nefarian",12
"MAGE","Alley Armorsmith",12
"PRIEST","Slime",12
"DRUID","Cenarius",12
"PRIEST","Lava Burst",12
"PRIEST","Forgotten Torch",12
"PRIEST","C'Thun's Chosen",12
"WARLOCK","Barnes",11
"WARLOCK","Arcane Anomaly",11
"SHAMAN","Wild Pyromancer",11
"MAGE","Kabal Demon",11
"ROGUE","Lotus Illusionist",11
"MAGE","Kor'kron Elite",11
"MAGE","Faceless Manipulator",11
"WARRIOR","Loot Hoarder",11
"WARLOCK","Stampeding Kodo",11
"SHAMAN","Excavated Evil",11
"MAGE","Hallazeal the Ascended",11
"MAGE","Lotus Assassin",11
"ROGUE","Violet Apprentice",11
"WARLOCK","Frothing Berserker",11
"WARLOCK","Kabal Demon",11
"SHAMAN","Ysera Awakens",11
"WARRIOR","Powershot",11
"WARRIOR","Pawn",11
"WARLOCK","Cyclopian Horror",11
"DRUID","Jade Shuriken",11
"WARLOCK","Small-Time Buccaneer",11
"PALADIN","Book Wyrm",11
"WARLOCK","Elise Starseeker",11
"WARLOCK","Twin Emperor Vek'nilash",11
"ROGUE","Hallazeal the Ascended",11
"MAGE","Frostwolf Warlord",11
"WARRIOR","Twin Emperor Vek'lor",11
"WARLOCK","Mad Bomber",11
"WARLOCK","Forgotten Torch",11
"HUNTER","Finja, the Flying Star",11
"MAGE","Usher of Souls",11
"MAGE","Bomb Squad",11
"MAGE","Darkscale Healer",11
"DRUID","Holy Smite",11
"WARRIOR","Twilight Drake",11
"WARLOCK","Greater Arcane Missiles",11
"PALADIN","Black Whelp",11
"MAGE","Bloodsail Cultist",11
"PALADIN","Baron Geddon",11
"PRIEST","Spreading Madness",11
"PRIEST","Hozen Healer",11
"PRIEST","Sen'jin Shieldmasta",11
"WARLOCK","Book Wyrm",11
"WARRIOR","Arathi Weaponsmith",11
"ROGUE","Bloodsail Cultist",11
"DRUID","Multi-Shot",11
"PALADIN","Bloodsail Raider",11
"SHAMAN","Doppelgangster",11
"ROGUE","Grimy Gadgeteer",10
"ROGUE","Bloodsail Raider",10
"MAGE","Fireblast Rank 2",10
"SHAMAN","Infested Tauren",10
"PALADIN","Coldlight Seer",10
"MAGE","Infested Tauren",10
"MAGE","Streetwise Investigator",10
"ROGUE","Patient Assassin",10
"PALADIN","Twilight Drake",10
"WARLOCK","Bloodsail Cultist",10
"SHAMAN","Book Wyrm",10
"WARLOCK","Felguard",10
"PALADIN","Coldlight Oracle",10
"WARLOCK","Chillmaw",10
"MAGE","Fen Creeper",10
"MAGE","Blackwing Technician",10
"ROGUE","Excavated Evil",10
"ROGUE","C'Thun",10
"MAGE","Ravaging Ghoul",10
"PALADIN","Beckoner of Evil",10
"MAGE","Servant of Yogg-Saron",10
"PRIEST","Murloc Warleader",10
"WARLOCK","Dreadsteed",10
"HUNTER","Whelp",10
"DRUID","Icehowl",10
"SHAMAN","Doppelgangster",10
"MAGE","Gadgetzan Auctioneer",10
"WARLOCK","Blowgill Sniper",10
"ROGUE","Hobart Grapplehammer",10
"PALADIN","Ancient of Blossoms",10
"WARRIOR","Consecration",10
"DRUID","Acolyte of Pain",10
"WARLOCK","Toxic Sewer Ooze",10
"WARLOCK","Southsea Deckhand",10
"PALADIN","Dread Corsair",10
"WARRIOR","Murloc Tinyfin",10
"WARRIOR","Crazed Worshipper",10
"ROGUE","Grimestreet Pawnbroker",10
"PRIEST","Tomb Pillager",10
"ROGUE","Eternal Sentinel",10
"MAGE","Imp Gang Boss",10
"MAGE","Felguard",10
"MAGE","Tuskarr Jouster",10
"WARLOCK","Sir Finley Mrrgglton",10
"MAGE","Priest of the Feast",10
"MAGE","Silver Hand Knight",10
"SHAMAN","Chillmaw",10
"PALADIN","Refreshment Vendor",10
"DRUID","Arcane Explosion",9
"ROGUE","Malygos",9
"SHAMAN","Murloc Scout",9
"DRUID","Frostbolt",9
"MAGE","Onyx Bishop",9
"PALADIN","Runic Egg",9
"PRIEST","Kabal Demon",9
"ROGUE","Hellfire",9
"PALADIN","Ysera Awakens",9
"MAGE","Bloodsail Raider",9
"ROGUE","Twilight Guardian",9
"ROGUE","Master of Evolution",9
"PALADIN","Holy Wrath",9
"WARLOCK","Leeroy Jenkins",9
"HUNTER","Worgen Infiltrator",9
"WARRIOR","Excavated Evil",9
"PALADIN","Huge Toad",9
"WARRIOR","Malkorok",9
"MAGE","White Eyes",9
"MAGE","Book Wyrm",9
"MAGE","Captain Greenskin",9
"DRUID","Jade Golem",9
"PRIEST","Jade Golem",9
"PALADIN","Harrison Jones",9
"DRUID","Sunfury Protector",9
"MAGE","Djinni of Zephyrs",9
"PRIEST","Forbidden Flame",9
"ROGUE","Warsong Commander",9
"ROGUE","Sir Finley Mrrgglton",9
"MAGE","Southsea Deckhand",9
"MAGE","Pit Fighter",9
"DRUID","Dragon's Breath",9
"PRIEST","Wisp",9
"WARLOCK","Fireblast",9
"MAGE","Thunder Bluff Valiant",9
"MAGE","Shadowcaster",9
"WARLOCK","Totem Golem",9
"ROGUE","Demonwrath",9
"PRIEST","Elemental Destruction",9
"WARLOCK","Doomsayer",9
"WARLOCK","Ravaging Ghoul",9
"ROGUE","C'Thun's Chosen",9
"WARRIOR","Lightning Storm",9
"MAGE","Stormpike Commando",9
"ROGUE","Blackwing Corruptor",9
"WARLOCK","Edwin VanCleef",9
"PRIEST","Heal",9
"PALADIN","Sunfury Protector",9
"SHAMAN","Coldlight Seer",9
"MAGE","Stranglethorn Tiger",9
"PRIEST","Auctionmaster Beardo",9
"MAGE","Cult Apothecary",9
"WARLOCK","Jade Golem",9
"MAGE","Twilight Elder",9
"MAGE","Doppelgangster",9
"WARLOCK","Forbidden Flame",9
"PRIEST","Ravaging Ghoul",9
"MAGE","Elemental Destruction",9
"SHAMAN","Flame Juggler",9
"WARRIOR","Emperor Thaurissan",9
"DRUID","Wobbling Runts",8
"DRUID","Arcane Blast",8
"PRIEST","Medivh, the Guardian",8
"WARRIOR","Prince Malchezaar",8
"MAGE","Rhonin",8
"ROGUE","Shadow Rager",8
"ROGUE","Harvest Golem",8
"ROGUE","Arcanosmith",8
"PALADIN","Elven Archer",8
"MAGE","Jade Spirit",8
"WARRIOR","Baine Bloodhoof",8
"MAGE","Netherspite Historian",8
"PALADIN","Elise Starseeker",8
"HUNTER","Dreadscale",8
"MAGE","Animated Armor",8
"HUNTER","Twilight Guardian",8
"HUNTER","Timber Wolf",8
"SHAMAN","Bloodsail Raider",8
"PRIEST","Hooded Acolyte",8
"MAGE","Demented Frostcaller",8
"MAGE","Wild Pyromancer",8
"DRUID","Ysera",8
"DRUID","Y'Shaarj, Rage Unbound",8
"PRIEST","Selfless Hero",8
"DRUID","Cairne Bloodhoof",8
"PRIEST","Nexus-Champion Saraad",8
"WARRIOR","Abomination",8
"DRUID","Reno Jackson",8
"SHAMAN","Cairne Bloodhoof",8
"PRIEST","Twin Emperor Vek'lor",8
"SHAMAN","Lightning Jolt",8
"WARLOCK","Alexstrasza",8
"PALADIN","Secretkeeper",8
"MAGE","Raza the Chained",8
"MAGE","Holy Fire",8
"PRIEST","Wobbling Runts",8
"SHAMAN","Bilefin Tidehunter",8
"PALADIN","Murloc Tinyfin",8
"PRIEST","Cone of Cold",8
"ROGUE","Dread Corsair",8
"WARLOCK","Thing from Below",8
"MAGE","Dark Iron Skulker",8
"PALADIN","Dire Wolf Alpha",8
"MAGE","Murloc Warleader",8
"ROGUE","Abyssal Enforcer",8
"DRUID","Mind Spike",8
"PRIEST","Slam",8
"PRIEST","Volcanic Drake",8
"PALADIN","Reno Jackson",8
"PALADIN","Tuskarr Jouster",8
"WARRIOR","Arcane Shot",8
"SHAMAN","Knife Juggler",8
"WARRIOR","Amani Berserker",8
"MAGE","Dalaran Aspirant",8
"ROGUE","Beckoner of Evil",8
"WARRIOR","Explosive Shot",8
"MAGE","Venture Co. Mercenary",8
"DRUID","Pantry Spider",8
"DRUID","Maelstrom Portal",8
"PRIEST","Malygos",8
"PRIEST","Sergeant Sally",8
"SHAMAN","Jade Golem",8
"PALADIN","Fight Promoter",8
"WARLOCK","Mind Spike",8
"PALADIN","Cairne Bloodhoof",8
"MAGE","Nightblade",8
"WARLOCK","Abomination",8
"WARLOCK","Zealous Initiate",8
"MAGE","Kvaldir Raider",8
"ROGUE","Armorsmith",8
"ROGUE","Wild Pyromancer",8
"WARRIOR","Hammer of Wrath",8
"PRIEST","Hobart Grapplehammer",8
"MAGE","Soggoth the Slitherer",7
"PRIEST","Prophet Velen",7
"MAGE","Jeweled Scarab",7
"ROGUE","Orgrimmar Aspirant",7
"DRUID","Sideshow Spelleater",7
"PALADIN","C'Thun",7
"PRIEST","Crazed Alchemist",7
"PALADIN","Sergeant Sally",7
"HUNTER","Sylvanas Windrunner",7
"WARLOCK","Cone of Cold",7
"ROGUE","Dirty Rat",7
"MAGE","Virmen Sensei",7
"ROGUE","Lava Burst",7
"PRIEST","Emerald Drake",7
"WARLOCK","Twilight Flamecaller",7
"MAGE","Consecration",7
"MAGE","Drakonid Operative",7
"WARLOCK","Psych-o-Tron",7
"DRUID","Stonetusk Boar",7
"DRUID","Forgotten Torch",7
"PRIEST","Bomb Squad",7
"MAGE","Dragon Consort",7
"PRIEST","Greater Arcane Missiles",7
"MAGE","Corrupted Healbot",7
"PALADIN","Dragon Egg",7
"DRUID","Ancient of Blossoms",7
"MAGE","Dread Corsair",7
"WARLOCK","Injured Kvaldir",7
"PALADIN","Stonetusk Boar",7
"PRIEST","Argent Squire",7
"WARLOCK","Arcane Missiles",7
"PRIEST","Crazed Worshipper",7
"DRUID","Shadow Strike",7
"MAGE","Dread Infernal",7
"DRUID","Sea Reaver",7
"WARRIOR","Wisp",7
"MAGE","Tentacle of N'Zoth",7
"ROGUE","Draenei Totemcarver",7
"ROGUE","Blood To Ichor",7
"WARLOCK","Big Game Hunter",7
"WARLOCK","Fearsome Doomguard",7
"ROGUE","Grommash Hellscream",7
"WARRIOR","Avenging Wrath",7
"WARRIOR","Explosive Trap",7
"PRIEST","Shadowfiend",7
"PRIEST","Stormwind Knight",7
"SHAMAN","Emperor Thaurissan",7
"HUNTER","Brann Bronzebeard",7
"PALADIN","Novice Engineer",7
"MAGE","Jinyu Waterspeaker",7
"WARLOCK","Lowly Squire",7
"SHAMAN","Defender of Argus",7
"WARRIOR","Skycap'n Kragg",7
"PRIEST","Grommash Hellscream",7
"DRUID","Mind Control Tech",7
"MAGE","Princess Huhuran",7
"PRIEST","Nerubian",7
"PALADIN","Powershot",7
"MAGE","Kabal Songstealer",7
"WARRIOR","Dragonfire Potion",7
"DRUID","Menagerie Magician",7
"SHAMAN","Abomination",7
"MAGE","Booty Bay Bodyguard",7
"PALADIN","Slam",7
"WARRIOR","Barnes",7
"SHAMAN","Harvest Golem",6
"HUNTER","Ram Wrangler",6
"PRIEST","Murloc Raider",6
"HUNTER","Blackwing Corruptor",6
"PRIEST","Bash",6
"ROGUE","Mind Control Tech",6
"MAGE","Twilight Whelp",6
"MAGE","Auctionmaster Beardo",6
"MAGE","Aya Blackpaw",6
"ROGUE","Murloc Tinyfin",6
"DRUID","Demonfire",6
"DRUID","Youthful Brewmaster",6
"ROGUE","N'Zoth's First Mate",6
"ROGUE","Faerie Dragon",6
"WARLOCK","Murloc Tidecaller",6
"SHAMAN","Kazakus Potion",6
"HUNTER","Dart Trap",6
"MAGE","Nexus-Champion Saraad",6
"DRUID","Arcane Shot",6
"PRIEST","Mortal Coil",6
"WARRIOR","Soulfire",6
"WARRIOR","Mad Bomber",6
"DRUID","Spreading Madness",6
"ROGUE","Cairne Bloodhoof",6
"MAGE","Mukla's Champion",6
"SHAMAN","Crazed Alchemist",6
"ROGUE","Argent Commander",6
"MAGE","Ram Wrangler",6
"ROGUE","Silithid Swarmer",6
"PRIEST","Stonetusk Boar",6
"MAGE","Grimestreet Enforcer",6
"MAGE","Southsea Captain",6
"PRIEST","Mana Wyrm",6
"MAGE","Leeroy Jenkins",6
"WARLOCK","Whirlwind",6
"DRUID","Snipe",6
"MAGE","The Curator",6
"MAGE","Big Game Hunter",6
"PALADIN","Bloodsail Corsair",6
"WARRIOR","Dispatch Kodo",6
"DRUID","Explosive Shot",6
"DRUID","Nefarian",6
"WARLOCK","Coldlight Seer",6
"WARRIOR","Multi-Shot",6
"WARLOCK","Soggoth the Slitherer",6
"MAGE","Youthful Brewmaster",6
"ROGUE","Don Han'Cho",6
"ROGUE","Dust Devil",6
"PRIEST","Jade Chieftain",6
"DRUID","Cone of Cold",6
"HUNTER","Harvest Golem",6
"DRUID","Wind-up Burglebot",6
"DRUID","Fist of Jaraxxus",6
"WARLOCK","Southsea Captain",6
"MAGE","Flamewreathed Faceless",6
"WARRIOR","Sparring Partner",6
"HUNTER","Acolyte of Pain",6
"SHAMAN","Frigid Snobold",6
"WARLOCK","Kabal Songstealer",6
"ROGUE","Cutpurse",6
"PALADIN","Explosive Trap",6
"ROGUE","Master of Disguise",6
"PRIEST","Mountain Giant",6
"ROGUE","Jade Chieftain",6
"MAGE","Corrupted Seer",6
"WARLOCK","Sea Giant",6
"DRUID","Faceless Summoner",6
"HUNTER","Stranglethorn Tiger",6
"MAGE","Kobold Geomancer",6
"DRUID","Flame Lance",6
"WARRIOR","Holy Nova",6
"PRIEST","War Kodo",6
"DRUID","Powershot",6
"MAGE","Jade Golem",6
"MAGE","SI:7 Agent",6
"WARRIOR","Shadowflame",6
"HUNTER","Murloc Warleader",6
"PALADIN","Revenge",6
"DRUID","Book Wyrm",6
"PRIEST","Consecration",6
"MAGE","Explosive Trap",6
"WARLOCK","Usher of Souls",6
"WARRIOR","Mistress of Mixtures",6
"MAGE","Validated Doomsayer",6
"DRUID","Elise Starseeker",6
"PRIEST","Onyxia",6
"DRUID","Lord of the Arena",6
"SHAMAN","Cellar Spider",6
"DRUID","Hammer of Wrath",6
"WARLOCK","Questing Adventurer",6
"PRIEST","Fireblast",6
"PALADIN","Ravaging Ghoul",6
"SHAMAN","Beckoner of Evil",6
"SHAMAN","Naga Corsair",5
"WARRIOR","Forked Lightning",5
"ROGUE","Bane of Doom",5
"DRUID","Stormcrack",5
"PRIEST","Bloodsail Cultist",5
"PRIEST","Flash Heal",5
"HUNTER","Knuckles",5
"PRIEST","Southsea Captain",5
"PRIEST","Mind Shatter",5
"ROGUE","Holy Nova",5
"PALADIN","Emperor Thaurissan",5
"WARRIOR","Faceless Destroyer",5
"HUNTER","Tomb Spider",5
"WARRIOR","Volcanic Potion",5
"DRUID","Firelands Portal",5
"WARLOCK","Infested Tauren",5
"ROGUE","Sea Reaver",5
"WARLOCK","Sunwalker",5
"MAGE","Arcane Shot",5
"PRIEST","Lotus Assassin",5
"WARRIOR","Defender of Argus",5
"HUNTER","Doppelgangster",5
"DRUID","Dark Iron Skulker",5
"WARLOCK","Void Terror",5
"MAGE","Revenge",5
"DRUID","Blackwing Technician",5
"MAGE","Naga Sea Witch",5
"WARLOCK","Jade Golem",5
"PALADIN","Baine Bloodhoof",5
"PRIEST","Murloc Tinyfin",5
"WARLOCK","Lightwarden",5
"DRUID","Kidnapper",5
"DRUID","Spirit Wolf",5
"MAGE","Menagerie Magician",5
"PALADIN","Mad Bomber",5
"DRUID","Dread Infernal",5
"PRIEST","Lightspawn",5
"PRIEST","Prince Malchezaar",5
"DRUID","Chromaggus",5
"SHAMAN","Kazakus Potion",5
"ROGUE","Kobold Geomancer",5
"PRIEST","Spellbreaker",5
"DRUID","Jade Lightning",5
"ROGUE","Fireblast",5
"WARLOCK","Tomb Pillager",5
"ROGUE","Mortal Strike",5
"PRIEST","Cruel Taskmaster",5
"DRUID","Bane of Doom",5
"DRUID","Cellar Spider",5
"SHAMAN","Wrathion",5
"PRIEST","Flame Juggler",5
"DRUID","Silver Hand Recruit",5
"HUNTER","Dirty Rat",5
"WARRIOR","Sen'jin Shieldmasta",5
"PRIEST","Dragon's Breath",5
"SHAMAN","Jade Behemoth",5
"WARLOCK","Gadgetzan Auctioneer",5
"MAGE","Dreadsteed",5
"WARLOCK","Murloc Tinyfin",5
"PRIEST","Crystal",5
"WARLOCK","Hungry Crab",5
"HUNTER","Refreshment Vendor",5
"DRUID","Worgen Infiltrator",5
"ROGUE","Crazed Worshipper",5
"SHAMAN","Baine Bloodhoof",5
"SHAMAN","Lotus Illusionist",5
"PRIEST","Twin Emperor Vek'nilash",5
"WARLOCK","Flamewaker",5
"PRIEST","Enchanted Raven",5
"SHAMAN","Wobbling Runts",5
"DRUID","Whelp",5
"MAGE","Fierce Monkey",5
"PRIEST","Kodorider",5
"ROGUE","Consecration",5
"WARLOCK","Bloodmage Thalnos",5
"WARLOCK","Lightning Storm",5
"DRUID","Virmen Sensei",5
"SHAMAN","Flamewaker",5
